timestamp,type,real_price,synthetic_price,delta,net_pnl,count,cumulative_pnl,direction
timestamp,type,real_price,synthetic_price,delta,net_pnl,count,cumulative_pnl,direction
1751792752,ETHUSDT,2514.80000000,2513.78922080,1.01077920,,,
1751792759,ETHUSDT,2515.29000000,2514.17433930,1.11566070,,,
1751792763,ETHUSDT,2515.28000000,2514.17410660,1.10589340,,,
timestamp,type,real_price,synthetic_price,delta,net_pnl,count,cumulative_pnl,direction
timestamp,type,real_price,synthetic_price,delta,net_pnl,count,cumulative_pnl,direction
1751796070,ETHUSDT,2504.87000000,2505.87624000,-1.00624000,,,
1751796134,ETHUSDT,2503.54000000,2504.54732830,-1.00732830,,,
1751796184,ETHUSDT,2504.48000000,2503.46917620,1.01082380,,,
1751796195,ETHUSDT,2505.96000000,2504.94316750,1.01683250,,,
1751796217,ETHUSDT,2506.04000000,2505.03028000,1.00972000,,,
1751796644,ETHUSDT,2506.65000000,2507.65828320,-1.00828320,,,
1751796649,ETHUSDT,2506.57000000,2507.65828320,-1.08828320,,,
1751796657,ETHUSDT,2506.57000000,2507.65851560,-1.08851560,,,
1751796982,ETHUSDT,2509.02000000,2508.01432000,1.00568000,,,
1751796987,ETHUSDT,2509.42000000,2508.04732080,1.37267920,,,
timestamp,type,real_price,synthetic_price,delta,net_pnl,count,cumulative_pnl,direction
timestamp,type,real_price,synthetic_price,delta,net_pnl,count,cumulative_pnl,direction
1751816175,ETHUSDT,2558.59000000,2559.61128280,-1.02128280,,,
1751816197,ETHUSDT,2558.69000000,2559.69293190,-1.00293190,,,
1751816203,ETHUSDT,2558.54000000,2557.51748240,1.02251760,,,
1751816209,ETHUSDT,2558.68000000,2557.51724730,1.16275270,,,
1751816214,ETHUSDT,2558.74000000,2557.51748240,1.22251760,,,
1751816219,ETHUSDT,2558.75000000,2557.51748240,1.23251760,,,
1751816254,ETHUSDT,2557.60000000,2558.60532480,-1.00532480,,,
1751816302,ETHUSDT,2556.49000000,2557.49796910,-1.00796910,,,
1751816307,ETHUSDT,2555.92000000,2557.27227310,-1.35227310,,,
1751816346,ETHUSDT,2555.53000000,2556.53147300,-1.00147300,,,
1751816349,ETHUSDT,2555.23000000,2556.50537690,-1.27537690,,,
1751816384,ETHUSDT,2554.28000000,2555.28166500,-1.00166500,,,
1751816404,ETHUSDT,2552.59000000,2553.63477930,-1.04477930,,,
1751816409,ETHUSACDT,2552.62000000,2553.63477930,-1.01477930,,,
